S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Nepal SBI Bank Debenture 2086,1,953.70,953.70,953.70,25.00,23842.50,935.00,18.70 ,                                            ,
2,10% Sanima Bank Limited Debenture,3,950.00,945.00,950.00,75.00,71125.00,950.00,0.00 ,                                            ,
3,10.35% Agricultural Bank Debenture 2083,4,989.00,969.30,970.00,85.00,83553.00,979.00,-9.00 ,                                             ,
4,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,22,831.00,815.00,816.00,165.00,135720.00,847.20,-31.20 ,                                             ,
5,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,18,656.30,596.70,656.30,130.00,83311.30,596.70,59.60 ,                                            ,
6,Agricultural Development Bank Limited,184,325.00,315.10,318.00,13101.00,4173500.70,319.90,-1.90 ,                                             ,
7,Ajod Insurance Limited,56,450.00,441.30,443.00,1511.00,674609.00,455.00,-12.00 ,                                             ,
8,Ankhu Khola Jalvidhyut Company Ltd,232,204.00,194.00,194.00,34797.00,6862552.90,200.20,-6.20 ,                                             ,
9,Api Power Company Ltd.,394,257.00,244.50,247.00,58175.00,14482609.00,256.10,-9.10 ,                                             ,
10,Arun Kabeli Power Ltd.,308,437.90,416.00,418.90,44746.00,18938748.70,431.90,-13.00 ,                                             ,
11,Arun Valley Hydropower Development Co. Ltd.,421,380.00,356.00,357.00,71583.00,25970052.60,374.30,-17.30 ,                                             ,
12,Asha Laghubitta Bittiya Sanstha Ltd,34,1255.00,1206.00,1229.00,724.00,881544.10,1255.00,-26.00 ,                                             ,
13,Asian Life Insurance Co. Limited,154,545.80,524.00,526.00,13745.00,7269604.90,542.80,-16.80 ,                                             ,
14,Balephi Hydropower Limited,419,270.00,243.00,243.30,8433.00,2091193.00,265.00,-21.70 ,                                             ,
15,Barun Hydropower Co. Ltd.,63,436.80,412.60,420.00,9383.00,3973846.00,437.10,-17.10 ,                                             ,
16,Best Finance Company Ltd.,89,359.00,334.10,338.00,7122.00,2421288.30,352.00,-14.00 ,                                             ,
17,Bishal Bazar Company Limited,8,3500.00,3400.00,3400.00,102.00,351640.00,3440.00,-40.00 ,                                             ,
18,Bottlers Nepal (Terai) Limited,1,12800.00,12800.00,12800.00,10.00,128000.00,12700.00,100.00 ,                                            ,
19,Buddha Bhumi Nepal Hydropower Company Limited,39,370.00,349.20,364.20,2110.00,744302.00,370.00,-5.80 ,                                             ,
20,Butwal Power Company Limited,99,315.10,310.00,310.00,6831.00,2139488.20,318.10,-8.10 ,                                             ,
Page 1/12 12345678910Next›Last»
Total Amount Rs.,"1,134,091,212"
Total Quantity,"3,666,891"
Total No of Transactions,"27,006"
S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
21,CEDB Hydropower Development Company Limited,79,709.00,667.60,668.30,4660.00,3138394.00,700.00,-31.70 ,                                             ,
22,Central Finance Co. Ltd.,97,280.00,259.00,264.50,6439.00,1686678.70,270.00,-5.50 ,                                             ,
23,Century Commercial Bank Ltd.,281,193.90,190.10,191.40,251267.00,48228049.20,193.00,-1.60 ,                                             ,
