,0,1,2,3,4,5,6,7,8,9,10,11
0,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,,
1,21,Butwal Power Company Limited,97,328.00,323.40,325.00,6779.00,2203794.80,330.00,-5.00 ,                                             ,
2,22,CEDB Hydropower Development Company Limited,112,711.00,691.00,696.90,8886.00,6228900.20,705.00,-8.10 ,                                             ,
3,23,Central Finance Co. Ltd.,82,285.50,271.00,274.00,6444.00,1771584.70,280.00,-6.00 ,                                             ,
4,24,Century Commercial Bank Ltd.,292,199.00,193.10,194.90,70888.00,13796343.50,197.20,-2.30 ,                                             ,
5,25,Century Commercial Bank Ltd. Promoter Share,1,120.00,120.00,120.00,12526.00,1503120.00,120.00,0.00 ,                                            ,
6,26,Chandragiri Hills Limited,81,1040.00,1005.00,1009.00,3085.00,3128395.00,1038.00,-29.00 ,                                             ,
7,27,Chhimek Laghubitta Bittiya Sanstha Limited,306,1015.00,990.00,990.00,12104.00,12106628.30,1016.00,-26.00 ,                                             ,
8,28,Chhyangdi Hydropower Ltd.,62,284.00,275.00,277.00,4581.00,1278765.50,284.90,-7.90 ,                                             ,
9,29,Chilime Hydropower Company Limited,188,400.00,386.00,387.00,21090.00,8200342.10,396.00,-9.00 ,                                             ,
10,30,Citizen Bank International Limited,130,220.00,217.00,218.00,12249.00,2669376.20,222.00,-4.00 ,                                             ,
11,31,Citizen Investment Trust,207,2400.00,2335.00,2359.90,9738.00,23012343.30,2365.00,-5.10 ,                                             ,
12,32,Citizens Mutual Fund -1,2,8.50,8.50,8.50,4650.00,39525.00,8.66,-0.16 ,                                             ,
13,33,CITIZENS MUTUAL FUND 2,5,9.46,9.27,9.27,8250.00,77757.50,9.62,-0.35 ,                                             ,
14,34,Civil Bank Ltd,186,210.00,204.00,205.00,35324.00,7268808.90,207.10,-2.10 ,                                             ,
15,35,Civil Laghubitta Bittiya Sanstha Ltd.,22,759.00,745.00,756.90,929.00,696059.70,765.00,-8.10 ,                                             ,
16,36,Corporate Development Bank Limited,88,304.00,295.90,295.90,7872.00,2357229.40,308.00,-12.10 ,                                             ,
17,37,Deprosc Laghubitta Bittiya Sanstha Limited,78,990.00,962.10,962.10,3407.00,3310323.30,975.00,-12.90 ,                                             ,
18,38,Dibyashwori Hydropower Ltd.,81,226.40,215.60,217.00,8649.00,1890838.20,228.90,-11.90 ,                                             ,
19,39,Emerging Nepal Limited,57,710.00,683.00,683.00,4700.00,3256150.00,712.90,-29.90 ,                                             ,
20,40,Everest Bank Limited,167,466.00,442.00,453.00,18610.00,8351122.00,456.90,-3.90 ,                                             ,
