,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,,,
1,,,North America,,"103,258,063","+1,688","1,479,802",+11,"97,104,243","+4,032","4,674,018","8,172",,,,,,North America,,,,,,,
2,,,Asia,,"158,968,791","+44,506","1,435,200",+21,"152,984,004","+58,928","4,549,587","10,586",,,,,,Asia,,,,,,,
3,,,South America,,"58,505,649",,"1,301,112",,"55,484,071",,"1,720,466","10,530",,,,,,South America,,,,,,,
4,,,Europe,,"198,863,765",,"1,847,912",,"190,430,479","+13,837","6,585,374","5,766",,,,,,Europe,,,,,,,
5,,,Oceania,,"9,218,629","+23,589","13,084",+44,"8,848,744","+5,878","356,801",126,,,,,,Australia/Oceania,,,,,,,
6,,,Africa,,"12,207,688",,"255,338",,"11,414,180",,"538,170",988,,,,,,Africa,,,,,,,
7,,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
8,,World,"541,023,306","+69,783","6,332,463",+76,"516,266,427","+82,647","18,424,416","36,168","69,408",812.4,,,,All,,,,,,,,,
9,1,USA,"87,424,846",,"1,036,084 ",,"83,245,798",,"3,142,964","2,800","261,144","3,095","1,040,105,263","3,106,865","334,776,423 ",North America,43230,,,"9,388",,,,,
10,2,India,"43,235,241",,"524,771 ",,"42,657,335",,"53,135",698,"30,742",373,"855,108,879","608,019","1,406,384,242 ",Asia,"332,6802",,,38,,,,,
11,3,Brazil,"31,497,038",,"668,230 ",,"30,219,236",,"609,572","8,318","146,160","3,101","63,776,166","295,949","215,497,163 ",South America,73223,,,"2,829",,,,,
12,4,France,"29,858,393",,"148,841 ",,"29,242,524",,"467,028",869,"455,476","2,270","271,490,188","4,141,455","65,554,307 ",Europe,24400,,,"7,124",,,,,
13,5,Germany,"26,886,447",,"140,213 ",,"25,939,900",,"806,334",631,"318,920","1,663","122,332,384","1,451,073","84,304,782 ",Europe,36011,,,"9,565",,,,,
14,6,UK,"22,410,583",,"179,274 ",,"22,045,389",,"185,920",188,"326,783","2,614","522,526,476","7,619,299","68,579,336 ",Europe,33830,,,"2,711",,,,,
15,7,Russia,"18,379,583",,"380,076 ",,"17,798,245",,"201,262","2,300","125,839","2,602","273,400,000","1,871,883","146,056,108 ",Europe,83841,,,"1,378",,,,,
16,8,S. Korea,"18,239,056","+9,768","24,390 ",+2,"18,028,899","+16,550","185,767",98,"355,157",475,"15,804,065","307,742","51,354,960 ",Asia,"32,1063",190,0.04,"3,617",,,,,
17,9,Italy,"17,664,043",,"167,432 ",,"16,879,683",,"616,928",193,"292,989","2,777","223,100,172","3,700,512","60,289,007 ",Europe,33600,,,"10,233",,,,,
18,10,Turkey,"15,072,747",,"98,965 ",,"14,971,256",,"2,526",975,"175,054","1,149","162,743,369","1,890,088","86,103,597 ",Asia,68701,,,29,,,,,
19,11,Spain,"12,478,994",,"107,108 ",,"11,939,322",,"432,564",339,"266,702","2,289","471,036,328","10,067,034","46,789,983 ",Europe,44370,,,"9,245",,,,,
20,12,Vietnam,"10,732,429",,"43,083 ",,"9,562,523",,"1,126,823",53,"108,363",435,"85,820,575","866,512","99,041,436 ",Asia,"92,2991",,,"11,377",,,,,
21,13,Argentina,"9,313,453",,"128,994 ",,"8,895,999",,"288,460",344,"202,457","2,804","35,716,069","776,400","46,002,135 ",South America,53571,,,"6,271",,,,,
22,14,Japan,"9,051,732",,"30,891 ",,"8,860,780",,"160,061",61,"71,997",246,"53,970,927","429,281","125,723,891 ",Asia,"144,0702",,,"1,273",,,,,
23,15,Netherlands,"8,107,944",,"22,336 ",,"8,046,107",,"39,501",33,"471,157","1,298","21,107,399","1,226,563","17,208,579 ",Europe,27701,,,"2,295",,,,,
24,16,Australia,"7,651,684","+17,234","9,083 ",+25,"7,388,112",,"254,489",93,"293,447",348,"72,798,786","2,791,885","26,075,142 ",Australia/Oceania,"32,8710",661,1.0,"9,760",,,,,
25,17,Iran,"7,233,880",,"141,352 ",,"7,059,253",,"33,275",361,"84,034","1,642","52,298,398","607,533","86,083,213 ",Asia,126092,,,387,,,,,
26,18,Colombia,"6,117,847",,"139,894 ",,"5,943,925",,"34,028",342,"117,793","2,694","35,175,528","677,268","51,937,378 ",South America,83711,,,655,,,,,
27,19,Indonesia,"6,061,079",,"156,652 ",,"5,899,501",,"4,926","2,771","21,713",561,"99,626,689","356,897","279,147,249 ",Asia,"461,7823",,,18,,,,,
28,20,Poland,"6,010,090",,"116,371 ",,"5,335,564",,"558,155",408,"159,140","3,081","36,412,734","964,166","37,766,035 ",Europe,63251,,,"14,779",,,,,
