,0,1,2,3,4,5,6,7,8,9,10,11
0,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,,
1,1,10% Prabhu Bank Debenture 2084 ,1,970.00,970.00,970.00,25.00,24250.00,970.00,0.00 ,                                            ,
2,2,10% Sanima Bank Limited Debenture,1,950.00,950.00,950.00,50.00,47500.00,950.00,0.00 ,                                            ,
3,3,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,3,950.00,947.10,947.10,50.00,47436.00,947.60,-0.50 ,                                             ,
4,4,10.25% KBL Debenture 2086,1,960.30,960.30,960.30,25.00,24007.50,941.50,18.80 ,                                            ,
5,5,10.35% Agricultural Bank Debenture 2083,1,979.00,979.00,979.00,25.00,24475.00,964.60,14.40 ,                                            ,
6,6,12% ICFC Finance Limited Debenture 2083,1,1070.00,1070.00,1070.00,25.00,26750.00,1070.00,0.00 ,                                            ,
7,7,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,14,871.00,840.00,853.60,284.00,243826.00,845.00,8.60 ,                                            ,
8,8,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,11,414.50,391.50,414.50,70.00,28168.10,398.50,16.00 ,                                            ,
9,9,Agricultural Development Bank Limited,162,340.00,332.00,332.00,9837.00,3290800.30,335.60,-3.60 ,                                             ,
10,10,Ajod Insurance Limited,38,489.00,480.50,488.00,1040.00,501773.00,490.00,-2.00 ,                                             ,
11,11,Ankhu Khola Jalvidhyut Company Ltd,164,219.00,211.00,212.80,18892.00,4028509.50,215.00,-2.20 ,                                             ,
12,12,Api Power Company Ltd.,305,274.90,267.00,268.90,46426.00,12538439.00,271.10,-2.20 ,                                             ,
13,13,Arun Kabeli Power Ltd.,183,455.00,445.00,448.00,21514.00,9637207.00,447.00,1.00 ,                                            ,
14,14,Arun Valley Hydropower Development Co. Ltd.,203,398.00,392.00,393.00,34437.00,13599634.80,394.00,-1.00 ,                                             ,
15,15,Asha Laghubitta Bittiya Sanstha Ltd,39,1280.00,1223.00,1275.00,1347.00,1685562.70,1271.00,4.00 ,                                            ,
16,16,Asian Life Insurance Co. Limited,220,575.00,545.20,559.00,48744.00,27328852.60,553.00,6.00 ,                                            ,
17,17,Balephi Hydropower Limited,216,298.30,276.60,298.30,2160.00,643794.00,271.20,27.10 ,                                            ,
18,18,Bank of Kathmandu Limited Promoter Share,3,141.00,141.00,141.00,5755.00,811455.00,141.00,0.00 ,                                            ,
19,19,Bank of Kathmandu Ltd.,212,240.20,229.00,236.00,201818.00,46914713.30,235.50,0.50 ,                                            ,
20,20,Barun Hydropower Co. Ltd.,52,459.00,446.00,451.90,7039.00,3166799.50,450.00,1.90 ,                                            ,
